Проект,Бюджет проекта,Ожидаемые расходы,Планируемые доходы,Уровень использования новых технологий,Снижение уровня загрязнения,Распределение бюджета по категориям,Прибыль/Убыток проекта,ROI,Социальные показатели,Эффективность проекта,Прозрачность финансов
Учебные программы для детей,100000,80000,120000,Средний,Невозможно,Образование,20000,66%,Образование,Средняя,Средняя
Экологические инициативы,50000,40000,60000,Высокий,Значительное,Экология,20000,40%,Экология,Высокая,Высокая
Помощь местным сообществам,70000,60000,90000,Низкий,Умеренное,Социальная поддержка,30000,43%,Социальная поддержка,Средняя,Низкая
Технологические проекты,120000,100000,150000,Очень высокий,Незначительное,Технологии,30000,25%,Технологии,Очень высокая,Высокая
Культурные и художественные мероприятия,80000,70000,100000,Средний,Невозможно,Культура,20000,25%,Культура,Средняя,Низкая
Спортивные программы,90000,80000,110000,Высокий,Незначительное,Спорт,30000,33%,Спорт,Высокая,Средняя
Проекты по инклюзии,110000,90000,130000,Средний,Умеренное,Инклюзия,40000,36%,Инклюзия,Средняя,Средняя
Борьба с негативными явлениями,60000,50000,70000,Низкий,Значительное,Безопасность,20000,33%,Безопасность,Низкая,Низкая
Доступное жилье для нуждающихся,95000,75000,110000,Средний,Умеренное,Жилье,25000,52%,Жилищные услуги,Средняя,Средняя
Программа профессиональной ориентации,80000,65000,95000,Высокий,Незначительное,Образование,30000,38%,Трудовая занятость,Высокая,Средняя
